"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
9,807.9090909091,8,6.8,"Rear-Wheel Drive","Premium Gasoline",13,"Automatic","Midsize Car",1993,"N","N","N"
10,807.9090909091,8,6.8,"Rear-Wheel Drive","Premium Gasoline",15,"Automatic","Midsize Car",1993,"Y","N","N"
9,807.9090909091,8,6.8,"Rear-Wheel Drive","Premium Gasoline",13,"Automatic","Midsize Car",1993,"N","N","N"
13,634.7857142857,6,4.9,"Rear-Wheel Drive","Regular Gasoline",17,"Automatic","Van",1985,"N","N","N"
18,423.1904761905,4,2.2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
19,403.9545454545,4,2.2,"Front-Wheel Drive","Regular Gasoline",27,"Manual","Midsize Car",1993,"N","N","N"
16,467.7368421053,6,3,"Front-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
16,493.7222222222,6,3,"Front-Wheel Drive","Regular Gasoline",22,"Manual","Midsize Car",1993,"N","N","N"
18,423.1904761905,4,2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
18,403.9545454545,4,2,"Front-Wheel Drive","Regular Gasoline",28,"Manual","Midsize Car",1993,"N","N","N"
15,493.7222222222,6,2.8,"Front-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,2.8,"Front-Wheel Drive","Regular Gasoline",25,"Manual","Midsize Car",1993,"N","N","N"
18,423.1904761905,5,2.4,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
18,423.1904761905,5,2.4,"Front-Wheel Drive","Regular Gasoline",27,"Manual","Midsize Car",1993,"N","N","N"
18,423.1904761905,4,2.2,"Front-Wheel Drive","Premium Gasoline",27,"Manual","SubCompact Car",1985,"N","N","N"
15,555.4375,6,4.9,"Rear-Wheel Drive","Regular Gasoline",17,"Manual","Van",1985,"N","N","N"
17,467.7368421053,4,2.3,"Rear-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize Car",1993,"Y","N","N"
17,444.35,4,2.3,"Rear-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
15,493.7222222222,6,2.9,"Rear-Wheel Drive","Regular Gasoline",23,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Large Car",1993,"N","N","N"
15,493.7222222222,6,3.8,"Front-Wheel Drive","Premium Gasoline",25,"Automatic","Large Car",1993,"N","Y","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Large Car",1993,"N","N","N"
15,522.7647058824,8,5.7,"Rear-Wheel Drive","Regular Gasoline",23,"Automatic","Large Car",1993,"N","N","N"
15,522.7647058824,8,4.9,"Front-Wheel Drive","Premium Gasoline",23,"Automatic","Large Car",1993,"N","N","N"
15,522.7647058824,8,5.7,"Rear-Wheel Drive","Regular Gasoline",23,"Automatic","Large Car",1993,"N","N","N"
16,467.7368421053,6,4.3,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
11,740.5833333333,8,5,"Rear-Wheel Drive","Regular Gasoline",14,"Automatic","Van",1985,"N","N","N"
15,493.7222222222,8,5,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
15,522.7647058824,8,5.7,"Rear-Wheel Drive","Regular Gasoline",23,"Automatic","Large Car",1993,"N","N","N"
18,423.1904761905,6,3.3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Large Car",1993,"N","N","N"
16,467.7368421053,6,3.5,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
18,444.35,6,3.3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
17,467.7368421053,6,3.8,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
18,423.1904761905,6,3.3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Large Car",1993,"N","N","N"
